S.N,Travel_Company,Destination,Price,Duration
1,Mountain Top Travels,Annapurna Circuit,"30,000",21
2,Mountain Top Travels,Everest Base Camp,"20,000",12
3,Mountain Top Travels,Langtang Valley,"15,000",7
4,Mountain Top Travels,Manang,"10,000",5
5,Mountain Top Travels,Mustang,"20,000",14
6,Mountain Top Travels,Rara Lake,"7,000",5
7,Mountain Top Travels,Gosaikunda,"8,000",5
8,Mountain Top Travels,Jomsom,"15,000",3
9,Mountain Top Travels,Muktinath,"15,000",3
10,Mountain Top Travels,Ghorepani Poon Hill,"20,000",5
11,Mountain Top Travels,Dolpo,"25,000",14
12,Mountain Top Travels,Tengboche,"10,000",3
13,Mountain Top Travels,Namche Bazaar,"12,000",3
14,Mountain Top Travels,Tilicho Lake,"18,000",6
15,Mountain Top Travels,Helambu,"15,000",5
16,Mountain Top Travels,Kanchenjunga Base Camp,"30,000",14
17,Mountain Top Travels,Shey Phoksundo Lake,"25,000",7
18,Mountain Top Travels,Khaptad National Park,"20,000",6
19,Mountain Top Travels,Rolwaling Valley,"22,000",7
20,Mountain Top Travels,Upper Mustang,"30,000",14
21,Mountain Top Travels,Simikot,"28,000",10
22,Mountain Top Travels,Panch Pokhari,"15,000",7
23,Mountain Top Travels,Sagarmatha National Park,"28,000",14
24,Mountain Top Travels,Makalu Base Camp,"32,000",14
25,Mountain Top Travels,Dhaulagiri Circuit,"32,000",14
26,Mountain Top Travels,Manaslu Circuit,"28,000",14
27,Mountain Top Travels,Khopra Ridge,"16,000",7
28,Mountain Top Travels,Gokyo Lakes,"25,000",10
29,Mountain Top Travels,Three Passes Trek,"35,000",20
30,Mountain Top Travels,Arun Valley,"20,000",12
31,Mountain Top Travels,Nar Phu Valley,"30,000",9
32,Mountain Top Travels,Ruby Valley,"18,000",7
33,Mountain Top Travels,Lower Dolpo,"25,000",10
34,Mountain Top Travels,Upper Dolpo,"40,000",20
35,Mountain Top Travels,Tsum Valley,"28,000",10
36,Mountain Top Travels,Pikey Peak,"15,000",7
37,Mountain Top Travels,Mohare Danda,"10,000",5
38,Mountain Top Travels,Ganja La Pass,"22,000",12
39,Mountain Top Travels,Lumba Sumba Pass,"40,000",20
40,Mountain Top Travels,Tamang Heritage Trail,"15,000",7
41,Mountain Top Travels,Annapurna Circuit,"33,000",22
42,Mountain Top Travels,Everest Base Camp,"18,000",11
43,Mountain Top Travels,Langtang Valley,"17,000",8
44,Mountain Top Travels,Manang,"8,000",4
45,Mountain Top Travels,Mustang,"21,000",15
46,Mountain Top Travels,Rara Lake,"8,000",6
47,Mountain Top Travels,Gosaikunda,"9,000",6
48,Mountain Top Travels,Jomsom,"10,000",2
49,Mountain Top Travels,Muktinath,"10,000",2
50,Mountain Top Travels,Ghorepani Poon Hill,"24,000",6
51,Mountain Top Travels,Dolpo,"27,000",15
52,Mountain Top Travels,Tengboche,"13,000",4
53,Mountain Top Travels,Namche Bazaar,"16,000",4
54,Mountain Top Travels,Tilicho Lake,"15,000",5
55,Mountain Top Travels,Helambu,"12,000",4
56,Mountain Top Travels,Kanchenjunga Base Camp,"27,000",13
57,Mountain Top Travels,Shey Phoksundo Lake,"28,000",8
58,Mountain Top Travels,Khaptad National Park,"23,000",7
59,Mountain Top Travels,Rolwaling Valley,"25,000",8
60,Mountain Top Travels,Upper Mustang,"27,000",13
61,Mountain Top Travels,Simikot,"31,000",11
62,Mountain Top Travels,Panch Pokhari,"13,000",6
63,Mountain Top Travels,Sagarmatha National Park,"27,000",13
64,Mountain Top Travels,Makalu Base Camp,"31,000",13
65,Mountain Top Travels,Dhaulagiri Circuit,"31,000",13
66,Mountain Top Travels,Manaslu Circuit,"27,000",13
67,Mountain Top Travels,Khopra Ridge,"18,000",8
68,Mountain Top Travels,Gokyo Lakes,"28,000",11
69,Mountain Top Travels,Three Passes Trek,"33,000",19
70,Mountain Top Travels,Arun Valley,"21,000",13
71,Mountain Top Travels,Nar Phu Valley,"33,000",10
72,Mountain Top Travels,Ruby Valley,"20,000",8
73,Mountain Top Travels,Lower Dolpo,"27,000",11
74,Mountain Top Travels,Upper Dolpo,"39,000",19
75,Mountain Top Travels,Tsum Valley,"31,000",11
76,Mountain Top Travels,Pikey Peak,"17,000",8
77,Mountain Top Travels,Mohare Danda,"12,000",6
78,Mountain Top Travels,Ganja La Pass,"23,000",13
79,Mountain Top Travels,Lumba Sumba Pass,"39,000",19
80,Mountain Top Travels,Tamang Heritage Trail,"17,000",8
81,Gaurab Tours and Travels,Annapurna Circuit,"38,000",25
82,Gaurab Tours and Travels,Everest Base Camp,"20,000",13
83,Gaurab Tours and Travels,Langtang Valley,"18,000",9
84,Gaurab Tours and Travels,Manang,"10,000",5
85,Gaurab Tours and Travels,Mustang,"24,000",16
86,Gaurab Tours and Travels,Rara Lake,"12,000",8
87,Gaurab Tours and Travels,Gosaikunda,"13,000",8
88,Gaurab Tours and Travels,Jomsom,"15,000",3
89,Gaurab Tours and Travels,Muktinath,"15,000",3
90,Gaurab Tours and Travels,Ghorepani Poon Hill,"30,000",7
91,Gaurab Tours and Travels,Dolpo,"34,000",18
92,Gaurab Tours and Travels,Tengboche,"16,000",6
93,Gaurab Tours and Travels,Namche Bazaar,"20,000",6
94,Gaurab Tours and Travels,Tilicho Lake,"18,000",7
95,Gaurab Tours and Travels,Helambu,"14,000",6
96,Gaurab Tours and Travels,Kanchenjunga Base Camp,"32,000",15
97,Gaurab Tours and Travels,Shey Phoksundo Lake,"35,000",10
